Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
27.19,54.7,6.8,-1.8
27.34,369.0,0.5,-14.7
27.49,-50.6,17.4,-21.8
27.64,-77.2,24.9,-13.6
27.81,-53.5,2.3,8.8
27.94,-91.2,-44.9,27.3
28.09,-153.8,-39.9,12.6
28.25,-68.5,11.9,0.4
28.39,15.2,43.3,3.8
28.54,71.1,12.3,5.8
28.70,22.1,-37.0,7.9
28.84,-52.8,-31.1,7.6
29.00,-55.0,15.2,6.1
29.14,16.3,37.6,4.5
29.37,66.8,6.9,4.9
29.45,25.1,-26.9,5.4
29.59,-47.3,-22.3,4.8
29.76,-53.4,-0.1,3.3
29.89,11.9,31.9,-9.9
30.05,31.4,20.3,1.9
30.20,20.6,-22.9,2.1
30.36,-24.3,-21.2,1.6
30.50,-36.0,7.7,1.6
30.64,4.1,21.2,0.4
30.79,28.0,8.1,0.0
30.95,11.1,-6.1,-3.7
31.09,-0.9,-16.8,0.0
31.25,-20.1,-10.4,0.6
31.39,-13.1,9.9,0.6
31.54,14.3,8.9,0.0
31.69,18.5,5.7,0.0
31.84,3.5,-8.2,0.0
32.00,-14.0,-10.6,0.0
32.15,-16.0,-5.0,0.3
32.31,4.4,10.7,0.0
32.45,14.4,8.4,0.0
32.62,8.5,-0.9,0.0
32.75,-6.8,-9.8,0.0
32.90,-10.4,-8.7,0.0
33.06,-8.6,8.2,0.3
33.21,9.1,6.4,0.0
33.36,9.7,4.1,0.0
33.51,7.2,1.5,-0.8
33.73,-2.9,-4.4,-0.6
33.81,-7.0,-1.7,-0.5
33.96,-3.5,-2.2,-8.0
34.11,-9.6,-2.8,-0.7
34.26,7.7,-1.8,0.0
34.41,14.0,-1.9,0.0
34.56,-2.7,-1.6,0.0
34.71,-12.4,6.4,0.0
34.88,-5.1,1.7,0.0
35.01,6.5,4.9,-0.3
35.16,8.2,10.0,0.0
35.31,-6.4,-8.3,-0.4
35.46,-1.1,-2.8,0.0
35.61,-15.4,3.7,-9.6
35.76,19.0,5.7,0.0
35.91,13.4,-6.3,0.0
36.06,0.1,-1.9,0.0
36.21,-13.7,4.7,0.0
36.36,-15.6,1.9,0.0
36.51,10.4,3.0,0.0
36.66,8.2,-12.7,-0.4
36.81,-1.0,-6.9,0.0
36.96,-9.4,10.8,0.0
37.11,2.9,12.2,0.3
37.26,2.6,-10.8,-0.4
37.41,4.3,-12.9,0.0
37.56,-5.3,9.2,0.3
37.71,-0.5,10.1,0.0
37.86,-0.4,-2.3,0.0
38.01,2.4,-7.4,0.0
38.16,3.3,-9.1,-0.4
38.31,-3.9,9.5,0.0
38.46,0.5,6.6,0.0
38.62,-0.8,-2.1,0.0
38.76,2.0,-3.1,0.0
38.91,5.1,0.4,0.0
39.06,0.7,1.6,0.0
39.28,-3.9,-0.3,0.0
39.36,-3.9,1.7,0.0
39.51,-0.1,1.3,0.0
39.66,2.3,-2.5,0.0
39.81,2.6,0.9,0.0
39.96,-1.0,-1.1,0.0
40.11,-7.0,-0.9,-6.4
40.26,7.7,0.2,1.1
40.41,9.0,-1.5,0.0
40.56,1.3,2.5,0.0
40.71,-8.4,2.9,0.0
40.86,3.3,5.4,0.0
41.01,0.9,-6.3,0.0
41.16,1.4,-9.1,0.0
41.31,-5.1,4.5,0.0
41.46,5.5,3.3,0.0
41.61,-2.9,-1.5,0.0
41.77,-1.3,-5.2,0.0
41.92,-0.5,4.4,0.0
42.07,5.0,4.6,0.0
42.23,-5.0,-3.7,0.0
42.38,0.9,-4.9,0.0
42.53,0.3,4.2,0.0
42.67,2.6,1.8,0.0
42.83,-1.8,-2.1,0.0
42.98,0.8,-1.6,0.0
43.12,-0.6,1.0,0.0
43.28,2.0,0.7,0.0
43.42,-0.5,1.1,0.0
43.60,0.0,-2.2,0.0
43.72,-1.2,-1.9,0.0
43.87,0.2,1.1,0.0
44.02,2.0,1.9,0.0
44.17,-2.2,0.0,0.0
44.33,1.3,-2.3,0.0
44.48,-1.8,1.1,0.0
44.64,2.3,0.0,0.0
44.77,-1.1,0.9,0.0
44.92,0.7,-1.6,0.0
45.09,-0.8,0.0,0.0
45.23,1.0,0.7,0.0
45.38,0.0,0.7,0.0
45.53,-0.6,-1.2,0.0
45.67,0.0,0.0,0.0
45.82,0.1,1.3,0.0
45.97,0.1,-0.6,0.0
46.12,-0.6,-0.4,0.0
46.27,1.0,0.5,0.0
46.42,-0.7,0.0,0.0
46.58,0.6,-0.6,0.0
46.73,0.0,0.5,0.0
46.88,0.1,-0.2,0.0
47.04,0.2,-0.4,0.0
47.17,-0.1,0.6,0.0
47.33,0.4,-0.6,0.0
47.48,-0.3,-0.3,0.0
47.64,0.5,0.1,0.0
47.77,0.0,-0.1,0.0
47.92,0.1,-0.3,0.0
48.08,0.3,0.2,0.0
